                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7062,                 3.4416,                 1.7676,                0.60796,                0.15385,                0.14804,                0.08817,                 1.4962,                 5.7279,                 1.1085,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.3757,                 1.4723,                 1.4613,                0.77274,                0.60417,                0.64131,                0.38718,                 1.4812,                 2.5982,                 1.0728,             0.00025247,             0.00025247,             0.00025247
